Order_Date,Order_Number,Product_ID,Library_Card_Number,Order_Quantity
42743,Ord449,PROD35,STC48,2
42755,Ord12,PROD11,STC98,8
42756,Ord649,PROD47,TC57,11
42758,Ord384,PROD41,TC84,10
42758,Ord715,PROD40,STC18,15
42758,Ord744,PROD42,STC20,20
42758,Ord843,PROD28,STC56,13
42760,Ord100,PROD40,TC45,17
42768,Ord336,PROD30,STC62,19
42772,Ord365,PROD20,TC79,9
42772,Ord579,PROD36,STC16,3
42784,Ord225,PROD49,TC64,19
42785,Ord943,PROD38,TC27,17
42786,Ord123,PROD33,TC74,16
42792,Ord182,PROD13,TC27,20
42794,Ord69,PROD30,TC64,12
42796,Ord412,PROD39,TC92,3
42800,Ord40,PROD36,TC38,20
42802,Ord711,PROD11,STC62,2
42805,Ord966,PROD37,STC100,10
42810,Ord695,PROD30,STC99,6
42815,Ord249,PROD21,TC95,2
42816,Ord575,PROD21,TC83,17
42816,Ord583,PROD16,STC69,10
42820,Ord211,PROD32,TC45,7
42821,Ord322,PROD27,TC48,17
42824,Ord916,PROD16,STC89,18
42826,Ord280,PROD30,STC15,16
42831,Ord764,PROD42,STC94,15
42831,Ord879,PROD24,STC33,3
42839,Ord136,PROD39,STC88,15
42846,Ord467,PROD19,TC94,12
42847,Ord198,PROD34,TC57,11
42852,Ord588,PROD43,STC44,4
42856,Ord38,PROD40,TC51,18
42859,Ord392,PROD45,TC53,15
42863,Ord771,PROD45,STC60,18
42871,Ord929,PROD22,STC100,16
42872,Ord830,PROD30,TC30,20
42876,Ord975,PROD34,STC35,4
42890,Ord754,PROD33,TC16,14
42892,Ord78,PROD21,STC35,11
42893,Ord593,PROD19,TC10,9
42895,Ord413,PROD27,TC26,17
42895,Ord923,PROD15,STC98,18
42897,Ord417,PROD49,TC76,7
42899,Ord151,PROD24,TC65,7
42899,Ord265,PROD13,STC87,12
42903,Ord556,PROD30,STC80,19
42906,Ord24,PROD21,TC82,16
42915,Ord777,PROD11,STC34,6
42918,Ord799,PROD50,STC97,17
42919,Ord696,PROD48,STC47,10
42926,Ord595,PROD42,TC14,10
42935,Ord549,PROD25,STC69,19
42948,Ord76,PROD13,STC73,7
42954,Ord358,PROD18,STC59,20
42959,Ord210,PROD50,STC21,5
42967,Ord829,PROD43,STC77,5
42969,Ord732,PROD31,STC65,15
42975,Ord191,PROD23,STC84,1
42975,Ord342,PROD25,TC31,17
42981,Ord492,PROD31,STC39,17
42983,Ord22,PROD20,STC48,3
42988,Ord570,PROD24,TC12,20
42998,Ord499,PROD36,STC35,4
43000,Ord659,PROD21,TC45,14
43001,Ord264,PROD48,STC27,13
43008,Ord314,PROD48,TC93,15
43012,Ord150,PROD36,TC29,7
43012,Ord691,PROD23,STC83,17
43013,Ord480,PROD46,TC13,9
43021,Ord816,PROD26,STC23,2
43023,Ord599,PROD34,TC85,16
43023,Ord838,PROD11,TC36,4
43025,Ord569,PROD15,TC91,19
43027,Ord213,PROD41,TC47,3
43027,Ord746,PROD30,STC19,5
43029,Ord317,PROD18,STC83,2
43031,Ord482,PROD42,TC24,13
43035,Ord277,PROD13,TC73,2
43036,Ord88,PROD50,TC81,5
43045,Ord192,PROD10,TC53,1
43046,Ord311,PROD43,STC75,3
43053,Ord920,PROD11,STC70,2
43056,Ord433,PROD50,STC68,13
43056,Ord782,PROD43,STC100,9
43069,Ord562,PROD26,STC74,2
43072,Ord271,PROD25,TC55,3
43073,Ord79,PROD28,STC44,6
43075,Ord700,PROD48,STC49,14
43080,Ord223,PROD20,STC71,4
43083,Ord261,PROD43,STC48,6
43087,Ord272,PROD25,TC45,15
43095,Ord246,PROD13,TC69,5
