In_Date,Shelves_ID,Product_ID,DayEnd_Stock_Pcs
43097,Shel01,PROD20,27
44513,Shel01,PROD36,56
44195,Shel01,PROD14,92
44484,Shel01,PROD14,50
44779,Shel01,PROD49,10
45148,Shel01,PROD49,50
45656,Shel01,PROD29,56
43989,Shel01,PROD49,44
46133,Shel01,PROD40,37
45145,Shel01,PROD10,80
45240,Shel01,PROD50,48
44783,Shel01,PROD19,12
44441,Shel01,PROD18,75
45673,Shel01,PROD25,37
43137,Shel01,PROD27,85
44309,Shel01,PROD27,98
43155,Shel01,PROD13,13
44630,Shel01,PROD48,67
45728,Shel01,PROD25,35
44129,Shel01,PROD17,70
43416,Shel01,PROD29,86
44479,Shel01,PROD27,46
44027,Shel01,PROD31,59
43484,Shel01,PROD13,94
43623,Shel01,PROD30,22
45284,Shel01,PROD38,76
44587,Shel01,PROD39,14
42866,Shel01,PROD31,80
43184,Shel01,PROD27,47
45438,Shel01,PROD45,54
43522,Shel01,PROD13,86
42925,Shel01,PROD16,86
45408,Shel01,PROD27,93
44046,Shel01,PROD18,66
45640,Shel01,PROD10,15
46155,Shel01,PROD32,86
43972,Shel01,PROD41,78
43327,Shel01,PROD22,14
44401,Shel01,PROD29,46
45329,Shel01,PROD26,90
42899,Shel01,PROD23,44
44597,Shel01,PROD40,13
43181,Shel01,PROD43,54
45294,Shel01,PROD45,25
44949,Shel01,PROD43,14
43688,Shel01,PROD16,62
45086,Shel01,PROD22,17
42865,Shel01,PROD34,70
43991,Shel01,PROD34,45
43719,Shel01,PROD47,26
45980,Shel01,PROD37,47
43142,Shel01,PROD39,62
45927,Shel01,PROD14,59
45757,Shel01,PROD10,99
45655,Shel01,PROD17,32
45932,Shel01,PROD22,15
45113,Shel01,PROD44,83
45237,Shel01,PROD39,36
44107,Shel01,PROD23,84
44643,Shel01,PROD17,54
43599,Shel01,PROD45,20
43536,Shel01,PROD47,48
44596,Shel01,PROD27,66
43896,Shel01,PROD26,65
44936,Shel01,PROD24,50
45955,Shel01,PROD34,18
45924,Shel01,PROD27,31
45236,Shel01,PROD26,21
45471,Shel01,PROD43,76
43481,Shel01,PROD44,53
44587,Shel01,PROD16,27
45947,Shel01,PROD37,59
44062,Shel01,PROD12,24
46149,Shel002,PROD43,10
44155,Shel002,PROD49,21
46210,Shel002,PROD29,43
44195,Shel002,PROD27,19
44042,Shel002,PROD40,19
45243,Shel002,PROD21,10
45759,Shel002,PROD50,100
44499,Shel002,PROD23,65
42858,Shel002,PROD43,46
42855,Shel002,PROD15,79
43702,Shel002,PROD25,62
43535,Shel002,PROD46,70
44844,Shel002,PROD43,25
45399,Shel002,PROD40,24
43407,Shel002,PROD43,77
45053,Shel002,PROD35,33
43144,Shel002,PROD33,98
43368,Shel002,PROD12,17
44892,Shel002,PROD21,22
42890,Shel002,PROD15,27
44921,Shel002,PROD35,84
45951,Shel002,PROD13,53
44549,Shel002,PROD23,43
45038,Shel002,PROD28,33
46206,Shel002,PROD13,41
44154,Shel002,PROD13,53
42930,Shel002,PROD49,24
43276,Shel002,PROD35,68
46020,Shel002,PROD41,12
42888,Shel002,PROD15,24
